"(Intercept)","METHODTrampa","ALT2","ALT3","ALT4","ALT5","SEXMale","poly(MONTH, 4)1","poly(MONTH, 4)2","poly(MONTH, 4)3","poly(MONTH, 4)4","METHODTrampa:ALT2","METHODTrampa:ALT3","METHODTrampa:ALT4","METHODTrampa:ALT5","ALT2:poly(MONTH, 4)1","ALT3:poly(MONTH, 4)1","ALT4:poly(MONTH, 4)1","ALT5:poly(MONTH, 4)1","ALT2:poly(MONTH, 4)2","ALT3:poly(MONTH, 4)2","ALT4:poly(MONTH, 4)2","ALT5:poly(MONTH, 4)2","ALT2:poly(MONTH, 4)3","ALT3:poly(MONTH, 4)3","ALT4:poly(MONTH, 4)3","ALT5:poly(MONTH, 4)3","ALT2:poly(MONTH, 4)4","ALT3:poly(MONTH, 4)4","ALT4:poly(MONTH, 4)4","ALT5:poly(MONTH, 4)4"
1,1,0,0,1,0,0,-0.00145944790759155,-0.031467482138961,0.0119930047025965,0.030365850372382,0,0,1,0,0,0,-0.00145944790759155,0,0,0,-0.031467482138961,0,0,0,0.0119930047025965,0,0,0,0.030365850372382,0
1,1,0,0,1,0,1,-0.00145944790759176,-0.0314674821389653,0.0119930047026116,0.0303658503724085,0,0,1,0,0,0,-0.00145944790759176,0,0,0,-0.0314674821389653,0,0,0,0.0119930047026116,0,0,0,0.0303658503724085,0
1,1,0,0,1,0,1,0.00454626666307329,-0.0316290930678864,-0.00266780641895004,0.0322541519013643,0,0,1,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641895004,0,0,0,0.0322541519013643,0
1,1,0,1,0,0,1,0.00454626666307329,-0.0316290930678864,-0.00266780641894985,0.0322541519013456,0,1,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894985,0,0,0,0.0322541519013456,0,0
1,1,0,0,1,0,0,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,0,1,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0
1,1,0,1,0,0,0,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,1,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0,0
1,0,0,0,1,0,1,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,0,0,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0
1,0,0,1,0,0,1,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,0,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0,0
1,0,0,0,1,0,0,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,0,0,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0
1,0,0,1,0,0,0,0.00454626666307329,-0.0316290930678864,-0.00266780641894984,0.0322541519013448,0,0,0,0,0,0.00454626666307329,0,0,0,-0.0316290930678864,0,0,0,-0.00266780641894984,0,0,0,0.0322541519013448,0,0
