"ALT","SEX","METHOD","OT","BD","OFFSET","HUNTER","MONTH","MONTHCALENDAR","YEAR","HUNTER.MONTH"
"4","Female","Trampa",0,8,2,"HUNT1",15,12,2011,"HUNT1 15"
"4","Male","Trampa",0,7,2,"HUNT1",15,12,2011,"HUNT1 15"
"4","Male","Trampa",1,3,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Male","Trampa",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Trampa",0,3,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Female","Trampa",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Male","Escopeta",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Male","Escopeta",0,2,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Escopeta",0,0,2,"HUNT1",17,3,2012,"HUNT1 17"
"3","Female","Escopeta",0,5,2,"HUNT1",17,3,2012,"HUNT1 17"
"4","Female","Escopeta",0,11,4,"HUNT1",18,4,2012,"HUNT1 18"
"3","Female","Escopeta",0,1,4,"HUNT1",18,4,2012,"HUNT1 18"
"4","Male","Escopeta",0,7,4,"HUNT1",18,4,2012,"HUNT1 18"
"3","Male","Escopeta",0,3,4,"HUNT1",18,4,2012,"HUNT1 18"
"4","Female","Trampa",0,4,1,"HUNT1",20,6,2012,"HUNT1 20"
"4","Male","Trampa",0,5,1,"HUNT1",20,6,2012,"HUNT1 20"
"4","Female","Escopeta",0,3,1,"HUNT1",21,7,2012,"HUNT1 21"
"4","Male","Escopeta",0,2,1,"HUNT1",21,7,2012,"HUNT1 21"
"4","Female","Trampa",0,12,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Female","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Female","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Male","Trampa",0,6,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Male","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Male","Trampa",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Female","Escopeta",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Female","Escopeta",3,1,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Female","Escopeta",1,4,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Male","Escopeta",0,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"2","Male","Escopeta",1,0,4,"HUNT1",22,8,2012,"HUNT1 22"
"3","Male","Escopeta",1,2,4,"HUNT1",22,8,2012,"HUNT1 22"
"4","Female","Escopeta",0,11,2,"HUNT1",23,10,2012,"HUNT1 23"
"4","Male","Escopeta",0,6,2,"HUNT1",23,10,2012,"HUNT1 23"
"3","Female","Escopeta",0,6,1,"HUNT1",24,11,2012,"HUNT1 24"
"3","Male","Escopeta",0,1,1,"HUNT1",24,11,2012,"HUNT1 24"
"4","Female","Escopeta",0,7,1,"HUNT1",25,12,2012,"HUNT1 25"
"4","Male","Escopeta",0,0,1,"HUNT1",25,12,2012,"HUNT1 25"
"4","Female","Escopeta",0,5,1,"HUNT1",27,3,2013,"HUNT1 27"
"4","Male","Escopeta",0,2,1,"HUNT1",27,3,2013,"HUNT1 27"
"4","Male","Trampa",0,1,1,"HUNT1",29,5,2013,"HUNT1 29"
"4","Female","Trampa",0,4,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Female","Trampa",0,1,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Male","Trampa",1,1,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Male","Trampa",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Female","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Female","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"4","Male","Escopeta",0,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"5","Male","Escopeta",1,0,2,"HUNT1",31,7,2013,"HUNT1 31"
"3","Female","Trampa",0,7,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Female","Trampa",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Male","Trampa",0,1,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Male","Trampa",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Female","Escopeta",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Female","Escopeta",0,5,2,"HUNT1",32,8,2013,"HUNT1 32"
"3","Male","Escopeta",0,0,2,"HUNT1",32,8,2013,"HUNT1 32"
"4","Male","Escopeta",0,3,2,"HUNT1",32,8,2013,"HUNT1 32"
"5","Female","Trampa",0,2,1,"HUNT2",1,8,2010,"HUNT2 1"
"5","Male","Trampa",0,3,1,"HUNT2",1,8,2010,"HUNT2 1"
"5","Female","Trampa",2,0,1,"HUNT2",3,10,2010,"HUNT2 3"
"1","Female","Trampa",0,1,1,"HUNT2",7,4,2011,"HUNT2 7"
"1","Male","Trampa",1,1,1,"HUNT2",7,4,2011,"HUNT2 7"
"5","Female","Trampa",0,5,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Male","Trampa",0,5,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Female","Escopeta",0,3,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Male","Escopeta",0,3,2,"HUNT2",9,6,2011,"HUNT2 9"
"5","Female","Trampa",0,5,1,"HUNT2",15,12,2011,"HUNT2 15"
"5","Male","Trampa",0,4,1,"HUNT2",15,12,2011,"HUNT2 15"
"3","Female","Escopeta",0,7,2,"HUNT2",17,3,2012,"HUNT2 17"
"1","Female","Escopeta",0,6,2,"HUNT2",17,3,2012,"HUNT2 17"
"3","Male","Escopeta",0,1,2,"HUNT2",17,3,2012,"HUNT2 17"
"1","Male","Escopeta",0,2,2,"HUNT2",17,3,2012,"HUNT2 17"
"5","Female","Trampa",0,2,1,"HUNT6",3,10,2010,"HUNT6 3"
"5","Male","Trampa",0,2,1,"HUNT6",3,10,2010,"HUNT6 3"
"5","Female","Trampa",0,9,1,"HUNT6",12,9,2011,"HUNT6 12"
"5","Female","Trampa",2,3,1,"HUNT6",20,6,2012,"HUNT6 20"
"5","Male","Trampa",0,5,1,"HUNT6",20,6,2012,"HUNT6 20"
"5","Female","Trampa",2,5,1,"HUNT6",21,7,2012,"HUNT6 21"
"5","Male","Trampa",0,3,1,"HUNT6",21,7,2012,"HUNT6 21"
"5","Female","Trampa",2,2,1,"HUNT6",23,10,2012,"HUNT6 23"
