"(Intercept)","blockII","blockIII","blockIV","blockV","water50","water62.5","pot30","pot60","pot120","pot180","water50:pot30","water62.5:pot30","water50:pot60","water62.5:pot60","water50:pot120","water62.5:pot120","water50:pot180","water62.5:pot180",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.51
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.62
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.88
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.11
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,24.44
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,28.5
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,32.94
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,28.76
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.13
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,19.71
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,31.05
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,38.35
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,36.97
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.72
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.29
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.39
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.45
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.44
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,28.12
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,31.49
1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,29.95
1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,30.06
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.42
1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,23.68
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,33.27
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,36.63
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,41.04
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.45
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.35
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.15
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.08
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,24.57
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,28.85
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,26.23
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26.36
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.08
1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20.99
1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,30.45
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,36.83
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,34.6
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.71
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.76
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22.46
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.97
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.54
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,18.48
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,25.54
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,30.29
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,30.64
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.26
1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,20.51
1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,24.47
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,34.52
