"pot","water","block","grain","seeds","viablepeas","totalpeas"
"0","37.5","I",14.55,136,22,56
"30","37.5","I",21.51,159,2,62
"60","37.5","I",24.62,156,0,66
"120","37.5","I",21.88,171,2,68
"180","37.5","I",28.11,190,0,82
"0","50","I",17.16,140,20,63
"30","50","I",24.44,193,6,86
"60","50","I",28.5,200,6,94
"120","50","I",32.94,208,7,86
"180","50","I",28.76,237,10,97
"0","62.5","I",14.13,132,23,58
"30","62.5","I",19.71,178,10,80
"60","62.5","I",31.05,231,5,99
"120","62.5","I",38.35,271,0,110
"180","62.5","I",36.97,262,1,106
"0","37.5","II",15.72,120,22,48
"30","37.5","II",19.72,146,0,64
"60","37.5","II",24.29,159,1,62
"120","37.5","II",25.39,152,0,60
"180","37.5","II",28.45,159,0,62
"0","50","II",15.44,124,12,52
"30","50","II",28.12,239,9,103
"60","50","II",31.49,248,4,103
"120","50","II",29.95,190,1,87
"180","50","II",30.06,240,4,101
"0","62.5","II",15.42,140,14,64
"30","62.5","II",23.68,167,7,77
"60","62.5","II",33.27,237,3,96
"120","62.5","II",36.63,240,1,94
"180","62.5","II",41.04,248,0,105
"0","37.5","III",12.77,106,4,44
"30","37.5","III",20.45,157,3,63
"60","37.5","III",24.35,204,1,84
"120","37.5","III",27.15,169,0,66
"180","37.5","III",24.08,147,1,58
"0","50","III",16.01,133,22,56
"30","50","III",24.57,199,7,81
"60","50","III",28.85,211,3,92
"120","50","III",26.23,223,7,91
"180","50","III",26.36,261,5,100
"0","62.5","III",16.08,128,21,50
"30","62.5","III",20.99,164,9,71
"60","62.5","III",30.45,216,3,94
"120","62.5","III",36.83,215,2,89
"180","62.5","III",34.6,228,2,89
"0","37.5","IV",14.26,125,11,60
"30","37.5","IV",23.71,185,7,75
"60","37.5","IV",22.76,159,1,67
"120","37.5","IV",22.46,176,2,76
"180","37.5","IV",22.97,154,1,63
"0","50","IV",15.54,133,27,51
"30","50","IV",18.48,149,4,60
"60","50","IV",25.54,170,1,67
"120","50","IV",30.29,215,2,90
"180","50","IV",30.64,186,4,80
"0","62.5","IV",17.26,147,18,62
"30","62.5","IV",20.51,154,10,67
"60","62.5","IV",24.47,179,2,75
"120","62.5","IV",34.52,229,0,90
"180","62.5","IV",37.62,216,1,87
"0","37.5","V",10.3,92,5,36
"30","37.5","V",16.28,133,5,57
"60","37.5","V",23.61,139,2,53
"120","37.5","V",29.66,166,0,69
"180","37.5","V",23.34,128,1,50
"0","50","V",14.41,131,26,57
"30","50","V",17.24,150,1,61
"60","50","V",29.08,218,4,92
"120","50","V",29.52,236,1,96
"180","50","V",27.98,261,4,110
"0","62.5","V",17.56,150,17,69
"30","62.5","V",20.05,156,13,63
"60","62.5","V",29.9,215,3,95
"120","62.5","V",20.86,128,0,55
"180","62.5","V",35.5,208,2,90
