"x","y","cases","size","age","netuse","treated","green","phc","area","Y"
349631.3,1458055,17,33,1148.93939393939,0.818181818181818,0,40.85,1,"1",0.515151515151515
358543.1,1460112,19,63,1124.44444444444,0.73015873015873,0.619047619047619,40.85,1,"1",0.301587301587302
360308.1,1460026,7,17,986.705882352941,1,0,40.1,0,"1",0.411764705882353
363795.7,1496919,8,24,1128.29166666667,0.166666666666667,0,40.85,0,"2",0.333333333333333
366400.5,1460248,10,26,1040.53846153846,1,0,40.85,0,"1",0.384615384615385
366687.5,1463002,7,18,1114.11111111111,0.611111111111111,0,40.85,0,"1",0.388888888888889
368420.5,1460569,24,38,1011.05263157895,0.973684210526316,0,40.85,0,"1",0.631578947368421
370399.5,1460301,7,56,1127.83928571429,0.892857142857143,0,40.85,1,"1",0.125
370627.7,1499589,6,57,989.754385964912,0,0,40.85,0,"2",0.105263157894737
374402.6,1501392,8,26,1042.34615384615,0.0384615384615385,0,40.85,1,"2",0.307692307692308
377024.3,1495994,6,31,1105.45161290323,1,1,33.65,1,"2",0.193548387096774
378218.3,1459478,12,32,1040.90625,1,0.875,40.1,1,"1",0.375
379097.8,1500023,14,32,1088.875,0.9375,0.8125,28.85,1,"2",0.4375
379752,1459654,5,20,1104.95,1,0,40.1,0,"1",0.25
381772.5,1491676,5,53,980.792452830189,1,0,33.65,1,"2",0.0943396226415094
382235.9,1463017,4,29,934.034482758621,0.758620689655172,0.620689655172414,40.85,1,"1",0.137931034482759
383161.9,1500986,8,30,1042.13333333333,1,0.966666666666667,40.85,1,"2",0.266666666666667
386849.4,1501264,15,21,1172.61904761905,0.0476190476190476,0,40.85,1,"2",0.714285714285714
387136.4,1462602,6,28,1017.10714285714,0.928571428571429,0,40.85,1,"1",0.214285714285714
389747,1466306,12,30,1059.76666666667,1,0,40.85,0,"1",0.4
390401.9,1463426,15,30,1132.43333333333,0.9,0,40.85,1,"1",0.5
391934.6,1499785,10,27,933.481481481482,0.444444444444444,0,40.85,0,"2",0.37037037037037
393347.5,1497573,10,30,1101.13333333333,0.166666666666667,0,40.85,1,"2",0.333333333333333
395433.6,1490858,1,34,1092.44117647059,1,1,47.65,1,"2",0.0294117647058824
397076.4,1501881,13,20,987.85,0,0,40.85,0,"2",0.65
486828.1,1502976,6,29,1058.13793103448,0.931034482758621,0,44.1,1,"3",0.206896551724138
488305.2,1508483,11,29,1072.93103448276,1,0,45.5,1,"3",0.379310344827586
493306.8,1510610,2,32,1103.0625,1,0.9375,50.55,1,"3",0.0625
493334.8,1504420,0,25,974.72,1,0.96,52.25,1,"3",0
496382.8,1503397,0,12,1071.83333333333,1,0.0833333333333333,54.2,0,"3",0
496572,1504953,6,40,1059.925,1,0,52.25,0,"3",0.15
502810.8,1497501,4,27,1008.88888888889,1,0.925925925925926,52.25,1,"3",0.148148148148148
506400.2,1496196,6,35,1047.71428571429,1,0,44.1,0,"3",0.171428571428571
507581.5,1496568,3,31,1086.41935483871,1,0.935483870967742,44.1,1,"3",0.0967741935483871
514695,1489011,12,33,1053.24242424242,1,0,45.5,0,"3",0.363636363636364
515703.6,1491979,3,28,970.071428571429,1,1,54.2,1,"3",0.107142857142857
517557.4,1489346,8,30,1021.93333333333,0.9,0.766666666666667,45.5,1,"3",0.266666666666667
517778.2,1491917,6,28,1089.03571428571,1,0,45.5,1,"3",0.214285714285714
519828.9,1496607,11,41,1063.21951219512,0.926829268292683,0,45.5,0,"3",0.268292682926829
523537.9,1485623,7,28,965.321428571429,0.571428571428571,0,50.55,1,"3",0.25
572287.4,1475233,11,37,1032.02702702703,0.756756756756757,0,54.2,0,"4",0.297297297297297
578792.4,1482075,17,30,1224.53333333333,0.6,0,58.95,1,"4",0.566666666666667
582180.7,1485578,17,29,1206.72413793103,0.137931034482759,0,56.6,1,"4",0.586206896551724
584543.5,1478674,9,29,1173.68965517241,0.827586206896552,0,54.2,1,"4",0.310344827586207
584652.9,1479619,21,62,1137.51612903226,0.338709677419355,0.290322580645161,52.25,1,"4",0.338709677419355
586254.5,1479185,7,35,1174.28571428571,0.942857142857143,0.942857142857143,54.2,1,"4",0.2
591297.8,1471011,15,27,1105.62962962963,0.740740740740741,0,58.95,0,"5",0.555555555555556
594599.6,1468916,9,11,1150.09090909091,0.818181818181818,0,58.95,0,"5",0.818181818181818
594610.2,1467776,14,15,1131.93333333333,0.866666666666667,0,58.95,0,"5",0.933333333333333
595119.5,1482908,13,31,1074.70967741935,0.967741935483871,0.935483870967742,58.95,1,"4",0.419354838709677
596181.5,1474316,19,30,1129.9,0.166666666666667,0.166666666666667,56.6,1,"5",0.633333333333333
599259.5,1481671,19,30,1024.63333333333,0.766666666666667,0.766666666666667,55.4,1,"5",0.633333333333333
600157.8,1470825,19,31,1127.96774193548,0.354838709677419,0,50.1,0,"5",0.612903225806452
601494.5,1469864,19,29,1097.37931034483,0.620689655172414,0.551724137931034,50.1,1,"5",0.655172413793103
602663,1489336,28,62,1058.79032258065,0.903225806451613,0.774193548387097,45.5,1,"4",0.451612903225806
604669.3,1478886,19,29,1282,0.862068965517241,0.827586206896552,58.95,1,"5",0.655172413793103
604731.2,1485729,13,27,1054.92592592593,0.851851851851852,0,54.2,0,"4",0.481481481481481
606082.8,1475711,5,8,1003.5,0.5,0,56.6,0,"5",0.625
610359.6,1477024,15,30,1225.96666666667,0.6,0,50.1,1,"5",0.5
611260,1499891,29,37,1043.75675675676,0,0,58.95,0,"4",0.783783783783784
613529.5,1473868,20,28,1161.21428571429,0.214285714285714,0,50.1,1,"5",0.714285714285714
614665.6,1482815,15,60,1160.68333333333,0.666666666666667,0,50.1,1,"5",0.25
614722.5,1474320,13,31,1072.22580645161,0.0645161290322581,0,50.1,1,"5",0.419354838709677
620043.1,1497633,12,13,975.923076923077,0.230769230769231,0,58.95,0,"4",0.923076923076923
622086.1,1474011,15,31,1109.51612903226,0.419354838709677,0,50.1,1,"5",0.483870967741935
