"(Intercept)","netuse","I(green/100)","phc","","",""
1,0.818181818181818,0.4085,1,1458055,33,0.515151515151515
1,0.73015873015873,0.4085,1,1460112,63,0.301587301587302
1,1,0.401,0,1460026,17,0.411764705882353
1,0.166666666666667,0.4085,0,1496919,24,0.333333333333333
1,1,0.4085,0,1460248,26,0.384615384615385
1,0.611111111111111,0.4085,0,1463002,18,0.388888888888889
1,0.973684210526316,0.4085,0,1460569,38,0.631578947368421
1,0.892857142857143,0.4085,1,1460301,56,0.125
1,0,0.4085,0,1499589,57,0.105263157894737
1,0.0384615384615385,0.4085,1,1501392,26,0.307692307692308
1,1,0.3365,1,1495994,31,0.193548387096774
1,1,0.401,1,1459478,32,0.375
1,0.9375,0.2885,1,1500023,32,0.4375
1,1,0.401,0,1459654,20,0.25
1,1,0.3365,1,1491676,53,0.0943396226415094
1,0.758620689655172,0.4085,1,1463017,29,0.137931034482759
1,1,0.4085,1,1500986,30,0.266666666666667
1,0.0476190476190476,0.4085,1,1501264,21,0.714285714285714
1,0.928571428571429,0.4085,1,1462602,28,0.214285714285714
1,1,0.4085,0,1466306,30,0.4
1,0.9,0.4085,1,1463426,30,0.5
1,0.444444444444444,0.4085,0,1499785,27,0.37037037037037
1,0.166666666666667,0.4085,1,1497573,30,0.333333333333333
1,1,0.4765,1,1490858,34,0.0294117647058824
1,0,0.4085,0,1501881,20,0.65
1,0.931034482758621,0.441,1,1502976,29,0.206896551724138
1,1,0.455,1,1508483,29,0.379310344827586
1,1,0.5055,1,1510610,32,0.0625
1,1,0.5225,1,1504420,25,0
1,1,0.542,0,1503397,12,0
1,1,0.5225,0,1504953,40,0.15
1,1,0.5225,1,1497501,27,0.148148148148148
1,1,0.441,0,1496196,35,0.171428571428571
1,1,0.441,1,1496568,31,0.0967741935483871
1,1,0.455,0,1489011,33,0.363636363636364
1,1,0.542,1,1491979,28,0.107142857142857
1,0.9,0.455,1,1489346,30,0.266666666666667
1,1,0.455,1,1491917,28,0.214285714285714
1,0.926829268292683,0.455,0,1496607,41,0.268292682926829
1,0.571428571428571,0.5055,1,1485623,28,0.25
1,0.756756756756757,0.542,0,1475233,37,0.297297297297297
1,0.6,0.5895,1,1482075,30,0.566666666666667
1,0.137931034482759,0.566,1,1485578,29,0.586206896551724
1,0.827586206896552,0.542,1,1478674,29,0.310344827586207
1,0.338709677419355,0.5225,1,1479619,62,0.338709677419355
1,0.942857142857143,0.542,1,1479185,35,0.2
1,0.740740740740741,0.5895,0,1471011,27,0.555555555555556
1,0.818181818181818,0.5895,0,1468916,11,0.818181818181818
1,0.866666666666667,0.5895,0,1467776,15,0.933333333333333
1,0.967741935483871,0.5895,1,1482908,31,0.419354838709677
1,0.166666666666667,0.566,1,1474316,30,0.633333333333333
1,0.766666666666667,0.554,1,1481671,30,0.633333333333333
1,0.354838709677419,0.501,0,1470825,31,0.612903225806452
1,0.620689655172414,0.501,1,1469864,29,0.655172413793103
1,0.903225806451613,0.455,1,1489336,62,0.451612903225806
1,0.862068965517241,0.5895,1,1478886,29,0.655172413793103
1,0.851851851851852,0.542,0,1485729,27,0.481481481481481
1,0.5,0.566,0,1475711,8,0.625
1,0.6,0.501,1,1477024,30,0.5
1,0,0.5895,0,1499891,37,0.783783783783784
1,0.214285714285714,0.501,1,1473868,28,0.714285714285714
1,0.666666666666667,0.501,1,1482815,60,0.25
1,0.0645161290322581,0.501,1,1474320,31,0.419354838709677
1,0.230769230769231,0.5895,0,1497633,13,0.923076923076923
1,0.419354838709677,0.501,1,1474011,31,0.483870967741935
